"Views","Show View (View: Declaration)","Alt+Shift+Q, D","In Windows"
"Navigate","Go to Next Member","Ctrl+Shift+Down","Editing Java Source"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Help","Close User Assistance Tray","Ctrl+W","In Dialogs"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"Text Editing","Select Previous Word","Ctrl+Shift+Left","Editing Text"
"Run/Debug","Run Java Application","Alt+Shift+X, J","In Windows"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"Run/Debug","Debug Java Application","Alt+Shift+D, J","In Windows"
"Text Editing","Collapse All","Ctrl+Shift+Numpad_Divide","Editing Text"
"Source","Quick Assist - Assign to local variable","Ctrl+2, L","Editing Java Source"
"OpenScript Keys","Iterate","Alt+I","In Windows"
"Refactor - Java","Rename - Refactoring ","Alt+Shift+R","In Windows"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Source","Show Source Quick Menu","Alt+Shift+S","In Windows"
"Run/Debug","Run Ant Build","Alt+Shift+X, Q","In Windows"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"Navigate","Open External Javadoc","Shift+F2","In Windows"
"Navigate","Open Plug-in Artifact","Ctrl+Shift+A","In Windows"
"Run/Debug","Run JUnit Plug-in Test","Alt+Shift+X, P","In Windows"
"Run/Debug","Debug Java Applet","Alt+Shift+D, A","In Windows"
"Views","Show View (View: Error Log)","Alt+Shift+Q, L","In Windows"
"Source","Add Javadoc Comment","Alt+Shift+J","In Windows"
"Views","Show View (View: Search)","Alt+Shift+Q, S","In Windows"
"Navigate","Collapse All","Ctrl+Shift+Numpad_Divide","In Windows"
"Run/Debug","Debug Ant Build","Alt+Shift+D, Q","In Windows"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Navigate","Forward History","Alt+Right","In Windows"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Run/Debug","Run OSGi Framework","Alt+Shift+X, O","In Windows"
"Source","Toggle Mark Occurrences","Alt+Shift+O","Editing Java Source"
"Text Editing","Line Start","Home","Editing Text"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Run/Debug","Execute","Ctrl+U","In Windows"
"File","Close All","Ctrl+Shift+F4","In Windows"
"Window","Switch to Editor","Ctrl+Shift+E","In Windows"
"Edit","Find Next","Ctrl+K","Editing Text"
"File","Properties","Alt+Enter","In Windows"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Window","Show Key Assist","Ctrl+Shift+L","In Dialogs and Windows"
"Run/Debug","Run Java Applet","Alt+Shift+X, A","In Windows"
"Run/Debug","Resume","F8","Debugging"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Views","Show View (View: History)","Alt+Shift+Q, Z","In Windows"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"OpenScript Keys","Pause","Alt+Shift+P","In Windows"
"Search","Declaration in Workspace","Ctrl+G","In Windows"
"File","Rename","F2","In Windows"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"Window","Activate Editor","F12","In Windows"
